Country,Density,Mortality,GDP,Unemployment,emissions,continent,wage,population
Switzerland,220.285662,3.4,91991.60046,5.1,38620,Europe,0,8665615
Syrian Arab Republic,116.1268148,18.4,..,..,29100,Asia,1.57,..
Tajikistan,70.25047914,27.6,916.6919671,..,6370,Asia,0.23,9573310
Tanzania,71.78633326,34.1,1146.031982,..,11360,Africa,0.09,60012400
Thailand,140.1497446,7.1,7060.897609,1.21,260660,Asia,1.06,69830779
Timor-Leste,88.83268325,43.1,2741.393945,2.34,600,..,2,1322667
Togo,158.941515,43.4,964.0500102,..,2070,Africa,0.34,8310934
Tonga,147.2458333,9.6,4425.970591,2.11,180,..,0,105901
Trinidad and Tobago,297.4001949,14.6,16032.50277,4.45,18190,North America,2.25,1400283
Tunisia,78.93245366,14,3807.184563,..,29890,Africa,0.47,11839918
Turkiye,110.1508569,7.7,9661.227734,11.98,#N/A,#N/A,1.57,#N/A
Turkmenistan,13.49531845,35.8,..,..,71960,..,0.88,6046292
Turks and Caicos Islands,47.48842105,3.8,23158.6379,..,..,..,2,..
Tuvalu,373.4666667,18.1,5372.756766,..,10,..,0,11817
Uganda,228.6743367,31.2,883.4657281,3.42,5840,Africa,0.01,45974931
Ukraine,75.58311184,7,4827.845703,9.83,174840,Europe,0.84,43686577
United Arab Emirates,131.8663053,5.4,44315.55418,3.11,208250,Asia,0,9910892
United Kingdom,277.0483198,3.7,46585.89756,..,366380,Europe,10.13,67948282
United States,36.29783633,5.4,70219.47245,5.35,#N/A,#N/A,7.25,#N/A
Uruguay,19.57639127,5,17923.99533,9.29,6080,South America,1.66,3475842
Uzbekistan,79.23490819,12.6,1993.424478,..,111380,Asia,0.24,33551824
Vanuatu,26.1802297,19.7,3044.57364,..,170,..,1.56,308337
"Venezuela, RB",31.97082592,21.1,..,..,148740,South America,0.24,..
Vietnam,310.9732316,16.4,3756.489122,2.38,222130,Asia,0.73,97490013
Virgin Islands (U.S.),302.4857143,..,..,..,..,..,0.09,..
West Bank and Gaza,817.0537759,12.8,3678.635657,26.39,..,Asia,1.53,..
"Yemen, Rep.",62.46877853,46.7,..,..,10060,Asia,5.6,..
Zambia,26.19503222,40.2,1137.344395,5.2,6990,Africa,0.24,18468257
Zimbabwe,41.3429598,35.7,1773.920411,9.54,10230,Africa,0,14899771
